,年月日,平均気温(℃),華氏温度
0,2021-01-01,-5.2,-20.666666666666668
1,2021-01-02,-5.3,-20.72222222222222
2,2021-01-03,-7.3,-21.833333333333332
3,2021-01-04,-2.9,-19.38888888888889
4,2021-01-05,-2.4,-19.11111111111111
5,2021-01-06,-3.6,-19.77777777777778
6,2021-01-07,-1.5,-18.61111111111111
7,2021-01-08,-4.9,-20.5
8,2021-01-09,-8.2,-22.333333333333336
9,2021-01-10,-5.5,-20.833333333333332
10,2021-01-11,-3.2,-19.555555555555557
11,2021-01-12,-2.6,-19.22222222222222
12,2021-01-13,-0.1,-17.833333333333332
13,2021-01-14,1.8,-16.77777777777778
14,2021-01-15,-0.4,-18.0
15,2021-01-16,2.3,-16.5
16,2021-01-17,-0.6,-18.11111111111111
17,2021-01-18,-2.2,-19.0
18,2021-01-19,-2.5,-19.166666666666668
19,2021-01-20,-1.5,-18.61111111111111
20,2021-01-21,0.9,-17.27777777777778
21,2021-01-22,2.6,-16.333333333333332
22,2021-01-23,1.0,-17.22222222222222
23,2021-01-24,0.7,-17.38888888888889
24,2021-01-25,0.6,-17.444444444444443
25,2021-01-26,0.1,-17.72222222222222
26,2021-01-27,3.4,-15.88888888888889
27,2021-01-28,0.6,-17.444444444444443
28,2021-01-29,0.3,-17.61111111111111
29,2021-01-30,-2.0,-18.88888888888889
30,2021-01-31,-1.0,-18.333333333333332
31,2021-02-01,-0.3,-17.944444444444443
32,2021-02-02,2.3,-16.5
33,2021-02-03,-3.7,-19.833333333333336
34,2021-02-04,-4.7,-20.38888888888889
35,2021-02-05,-0.5,-18.055555555555554
36,2021-02-06,4.9,-15.055555555555555
37,2021-02-07,2.1,-16.61111111111111
38,2021-02-08,-2.9,-19.38888888888889
39,2021-02-09,-2.4,-19.11111111111111
40,2021-02-10,1.0,-17.22222222222222
41,2021-02-11,2.5,-16.38888888888889
42,2021-02-12,0.9,-17.27777777777778
43,2021-02-13,1.9,-16.72222222222222
44,2021-02-14,3.4,-15.88888888888889
45,2021-02-15,4.7,-15.166666666666666
46,2021-02-16,2.2,-16.555555555555557
47,2021-02-17,-0.6,-18.11111111111111
48,2021-02-18,-0.5,-18.055555555555554
49,2021-02-19,3.0,-16.11111111111111
50,2021-02-20,5.7,-14.61111111111111
51,2021-02-21,5.9,-14.5
52,2021-02-22,8.3,-13.166666666666666
53,2021-02-23,2.3,-16.5
54,2021-02-24,-1.1,-18.38888888888889
55,2021-02-25,0.3,-17.61111111111111
56,2021-02-26,1.6,-16.88888888888889
57,2021-02-27,-0.5,-18.055555555555554
58,2021-02-28,0.7,-17.38888888888889
59,2021-03-01,5.9,-14.5
60,2021-03-02,7.2,-13.777777777777779
61,2021-03-03,1.9,-16.72222222222222
62,2021-03-04,4.4,-15.333333333333334
63,2021-03-05,8.1,-13.277777777777777
64,2021-03-06,4.6,-15.222222222222221
65,2021-03-07,1.3,-17.055555555555554
66,2021-03-08,2.0,-16.666666666666668
67,2021-03-09,3.0,-16.11111111111111
68,2021-03-10,4.6,-15.222222222222221
69,2021-03-11,5.8,-14.555555555555555
70,2021-03-12,4.0,-15.555555555555555
71,2021-03-13,3.7,-15.722222222222221
72,2021-03-14,7.0,-13.88888888888889
73,2021-03-15,9.1,-12.722222222222221
74,2021-03-16,,
75,2021-03-17,6.3,-14.277777777777777
76,2021-03-18,6.4,-14.222222222222223
77,2021-03-19,5.6,-14.666666666666666
78,2021-03-20,4.7,-15.166666666666666
79,2021-03-21,8.1,-13.277777777777777
80,2021-03-22,7.5,-13.61111111111111
81,2021-03-23,5.4,-14.777777777777779
82,2021-03-24,8.4,-13.11111111111111
83,2021-03-25,10.5,-11.944444444444445
84,2021-03-26,9.0,-12.777777777777777
85,2021-03-27,8.5,-13.055555555555555
86,2021-03-28,9.5,-12.5
87,2021-03-29,16.2,-8.777777777777779
88,2021-03-30,13.6,-10.222222222222221
89,2021-03-31,13.1,-10.499999999999998
90,2021-04-01,9.7,-12.38888888888889
91,2021-04-02,10.2,-12.11111111111111
92,2021-04-03,13.7,-10.166666666666666
93,2021-04-04,12.4,-10.88888888888889
94,2021-04-05,9.3,-12.61111111111111
95,2021-04-06,5.7,-14.61111111111111
96,2021-04-07,8.5,-13.055555555555555
97,2021-04-08,8.0,-13.333333333333332
98,2021-04-09,4.5,-15.277777777777777
99,2021-04-10,6.0,-14.444444444444445
100,2021-04-11,7.4,-13.666666666666668
101,2021-04-12,10.8,-11.777777777777777
102,2021-04-13,14.8,-9.555555555555555
103,2021-04-14,10.2,-12.11111111111111
104,2021-04-15,7.3,-13.722222222222221
105,2021-04-16,10.1,-12.166666666666666
106,2021-04-17,13.2,-10.444444444444445
107,2021-04-18,12.0,-11.11111111111111
108,2021-04-19,11.7,-11.277777777777779
109,2021-04-20,13.4,-10.333333333333334
110,2021-04-21,12.3,-10.944444444444445
111,2021-04-22,11.5,-11.38888888888889
112,2021-04-23,9.4,-12.555555555555555
113,2021-04-24,11.5,-11.38888888888889
114,2021-04-25,10.8,-11.777777777777777
115,2021-04-26,8.0,-13.333333333333332
116,2021-04-27,8.7,-12.944444444444445
117,2021-04-28,13.6,-10.222222222222221
118,2021-04-29,13.0,-10.555555555555555
119,2021-04-30,12.9,-10.611111111111112
120,2021-05-01,12.2,-11.0
121,2021-05-02,11.3,-11.5
122,2021-05-03,11.1,-11.61111111111111
123,2021-05-04,15.2,-9.333333333333334
124,2021-05-05,13.8,-10.11111111111111
